0 57 
2 58 
2 59 
5 60 
9 62 
11 63 
12 64 
13 65 
13 66 
13 67 
14 68 
15 69 
16 71 
16 72 
17 73 
18 74 
21 75 
22 76 
24 77 
26 78 
28 81 
29 82 
34 83 
35 84 
38 85 
39 86 
39 87 
40 88 
41 89 
42 90 
43 91 
44 92 
48 93 
48 94 
49 95 
49 96 
51 97 
52 98 
52 99 
55 56 
58 59 
65 66 
65 67 
66 67 
71 72 
79 80 
86 87 
93 94 
95 96 
98 99 
0 1 
0 13 
0 30 
1 13 
1 30 
2 3 
2 10 
2 15 
2 17 
2 37 
2 50 
2 79 
3 10 
3 15 
3 17 
3 37 
3 50 
3 79 
4 8 
4 11 
4 53 
4 65 
4 68 
4 75 
5 19 
5 24 
5 26 
5 28 
5 38 
5 39 
5 41 
5 46 
6 9 
6 16 
6 18 
6 25 
6 27 
6 32 
6 33 
6 40 
6 52 
7 14 
7 56 
8 11 
8 53 
8 65 
8 68 
8 75 
9 16 
9 18 
9 25 
9 27 
9 32 
9 33 
9 40 
9 52 
10 15 
10 17 
10 37 
10 50 
10 79 
11 53 
11 65 
11 68 
11 75 
12 36 
12 58 
13 30 
14 56 
15 17 
15 37 
15 50 
15 79 
16 18 
16 25 
16 27 
16 32 
16 33 
16 40 
16 52 
17 37 
17 50 
17 79 
18 25 
18 27 
18 32 
18 33 
18 40 
18 52 
19 24 
19 26 
19 28 
19 38 
19 39 
19 41 
19 46 
20 34 
20 42 
20 47 
21 31 
21 35 
21 43 
21 49 
21 54 
21 59 
23 76 
24 26 
24 28 
24 38 
24 39 
24 41 
24 46 
25 27 
25 32 
25 33 
25 40 
25 52 
26 28 
26 38 
26 39 
26 41 
26 46 
27 32 
27 33 
27 40 
27 52 
28 38 
28 39 
28 41 
28 46 
29 55 
29 70 
31 35 
31 43 
31 49 
31 54 
31 59 
32 33 
32 40 
32 52 
33 40 
33 52 
34 42 
34 47 
35 43 
35 49 
35 54 
35 59 
36 58 
37 50 
37 79 
38 39 
38 41 
38 46 
39 41 
39 46 
40 52 
41 46 
42 47 
43 49 
43 54 
43 59 
44 45 
44 48 
44 51 
45 48 
45 51 
48 51 
49 54 
49 59 
50 79 
53 65 
53 68 
53 75 
54 59 
55 70 
60 77 
60 87 
61 81 
65 68 
65 75 
68 75 
77 87 
84 96 
88 99 
93 97 
